longitude,latitude
-76.512,42.462
-76.51156,42.46222
-76.51112,42.462
-76.51068,42.46222
-76.51024,42.462
-76.5098,42.46222
-76.50936,42.462
-76.50892,42.46222
-76.50848,42.462
-76.50804,42.46222
-76.50848,42.46244
-76.50892,42.46266
-76.50936,42.46244
-76.5098,42.46266
-76.51024,42.46244
-76.51068,42.46266
-76.51112,42.46244
-76.51156,42.46266
-76.512,42.46244
-76.51156,42.46244
-76.512,42.46222
-76.51156,42.462
-76.51112,42.46222
-76.51068,42.462
-76.51024,42.46222
-76.5098,42.462
-76.50936,42.46222
-76.50892,42.462
-76.50848,42.46222
-76.50804,42.462
-76.50892,42.46244
-76.50936,42.46266
-76.5098,42.46244
-76.51024,42.46266
-76.51068,42.46244
-76.51112,42.46266
-76.51156,42.46288
-76.512,42.46266
-76.512,42.46288
-76.51156,42.4631
-76.51112,42.46288
-76.51068,42.4631
-76.51024,42.46288
-76.5098,42.4631
-76.50936,42.46288
-76.50892,42.4631
-76.50848,42.46288
-76.50804,42.46266
-76.50848,42.46266
-76.50804,42.46244
-76.50892,42.46288
-76.50936,42.4631
-76.5098,42.46288
-76.51024,42.4631
-76.51068,42.46288
-76.51112,42.4631
-76.51156,42.46332
-76.512,42.4631
-76.512,42.46332
-76.51156,42.46354
-76.51112,42.46332
-76.51068,42.46354
-76.51024,42.46332
-76.5098,42.46354
-76.50936,42.46332
-76.50892,42.46354
-76.50848,42.46332
-76.50804,42.4631
-76.50848,42.4631
-76.50804,42.46288
-76.50892,42.46332
-76.50936,42.46354
-76.5098,42.46332
-76.51024,42.46354
-76.51068,42.46332
-76.51112,42.46354
-76.51156,42.46376
-76.512,42.46354
-76.512,42.46376
-76.51156,42.46398
-76.51112,42.46376
-76.51068,42.46398
-76.51024,42.46376
-76.5098,42.46398
-76.50936,42.46376
-76.50892,42.46398
-76.50848,42.46376
-76.50804,42.46354
-76.50848,42.46354
-76.50804,42.46332
-76.50892,42.46376
-76.50936,42.46398
-76.5098,42.46376
-76.51024,42.46398
-76.51068,42.46376
-76.51112,42.46398
-76.50848,42.46398
-76.50804,42.46376
-76.50804,42.46398
-76.512,42.46398
