{'lon': -76.4829178, 'lat': 42.444902}
{'lon': -76.4829201, 'lat': 42.4449018}
{'lon': -76.4829326, 'lat': 42.4449022}
{'lon': -76.4829299, 'lat': 42.444906599999996}
{'lon': -76.4829307, 'lat': 42.4449034}
{'lon': -76.4829309, 'lat': 42.4448989}
{'lon': -76.4829322, 'lat': 42.444892599999996}
{'lon': -76.48294109999999, 'lat': 42.444894999999995}
{'lon': -76.4829436, 'lat': 42.444896199999995}
{'lon': -76.4829373, 'lat': 42.444896899999996}
{'lon': -76.48292789999999, 'lat': 42.4448997}
{'lon': -76.482933, 'lat': 42.4448953}
{'lon': -76.4829395, 'lat': 42.4448945}
{'lon': -76.48296359999999, 'lat': 42.4448857}
{'lon': -76.4829731, 'lat': 42.4448779}
{'lon': -76.4829919, 'lat': 42.444877299999995}
{'lon': -76.4830082, 'lat': 42.444895599999995}
{'lon': -76.4830583, 'lat': 42.444897499999996}
{'lon': -76.48310359999999, 'lat': 42.444896}
{'lon': -76.4831234, 'lat': 42.444891299999995}
{'lon': -76.48313499999999, 'lat': 42.444871899999995}
{'lon': -76.4831399, 'lat': 42.4448714}
{'lon': -76.4831481, 'lat': 42.444868799999995}
{'lon': -76.48314549999999, 'lat': 42.4448715}
{'lon': -76.483153, 'lat': 42.444873699999995}
{'lon': -76.4831528, 'lat': 42.4448721}
{'lon': -76.4831547, 'lat': 42.444868199999995}
{'lon': -76.4831432, 'lat': 42.4448685}
{'lon': -76.4831385, 'lat': 42.4448653}
{'lon': -76.48313449999999, 'lat': 42.4448633}
{'lon': -76.48313279999999, 'lat': 42.4448558}
{'lon': -76.483136, 'lat': 42.444846399999996}
{'lon': -76.483142, 'lat': 42.444834799999995}
{'lon': -76.4831499, 'lat': 42.444824499999996}
{'lon': -76.4831562, 'lat': 42.4448137}
{'lon': -76.4831651, 'lat': 42.4448031}
{'lon': -76.4831743, 'lat': 42.4447946}
{'lon': -76.48318239999999, 'lat': 42.4447884}
{'lon': -76.4831927, 'lat': 42.4447814}
{'lon': -76.483203, 'lat': 42.4447761}
{'lon': -76.4832112, 'lat': 42.4447713}
{'lon': -76.4832194, 'lat': 42.4447664}
{'lon': -76.4832287, 'lat': 42.444760599999995}
{'lon': -76.4832389, 'lat': 42.444755199999996}
{'lon': -76.4832476, 'lat': 42.4447494}
{'lon': -76.48325849999999, 'lat': 42.4447425}
{'lon': -76.4832723, 'lat': 42.4447343}
{'lon': -76.4832874, 'lat': 42.4447264}
{'lon': -76.4833026, 'lat': 42.4447189}
{'lon': -76.483317, 'lat': 42.444710699999995}
{'lon': -76.4833317, 'lat': 42.4447027}
{'lon': -76.4833462, 'lat': 42.4446954}
{'lon': -76.4833604, 'lat': 42.444687599999995}
{'lon': -76.4833747, 'lat': 42.444679099999995}
{'lon': -76.48338849999999, 'lat': 42.4446705}
{'lon': -76.4834027, 'lat': 42.4446618}
{'lon': -76.4834171, 'lat': 42.4446538}
{'lon': -76.4834319, 'lat': 42.4446452}
{'lon': -76.4834454, 'lat': 42.444638}
{'lon': -76.4834599, 'lat': 42.444631199999996}
{'lon': -76.4834765, 'lat': 42.4446271}
{'lon': -76.4834927, 'lat': 42.4446283}
{'lon': -76.4835064, 'lat': 42.4446344}
{'lon': -76.4835152, 'lat': 42.4446454}
{'lon': -76.4835229, 'lat': 42.4446581}
{'lon': -76.48353, 'lat': 42.444671299999996}
{'lon': -76.4835373, 'lat': 42.4446844}
{'lon': -76.4835453, 'lat': 42.444697399999995}
{'lon': -76.4835531, 'lat': 42.4447104}
{'lon': -76.4835607, 'lat': 42.4447239}
{'lon': -76.4835682, 'lat': 42.4447374}
{'lon': -76.4835757, 'lat': 42.444750299999995}
{'lon': -76.4835834, 'lat': 42.4447627}
{'lon': -76.4835915, 'lat': 42.4447751}
{'lon': -76.4836004, 'lat': 42.4447872}
{'lon': -76.48361059999999, 'lat': 42.444798399999996}
{'lon': -76.4836218, 'lat': 42.444809199999995}
{'lon': -76.4836351, 'lat': 42.444818999999995}
{'lon': -76.48365129999999, 'lat': 42.4448237}
{'lon': -76.48366419999999, 'lat': 42.4448183}
{'lon': -76.4836692, 'lat': 42.4448072}
{'lon': -76.4836674, 'lat': 42.4447948}
{'lon': -76.48366419999999, 'lat': 42.444782}
{'lon': -76.4836624, 'lat': 42.4447689}
{'lon': -76.48366039999999, 'lat': 42.444756}
{'lon': -76.48365849999999, 'lat': 42.4447431}
{'lon': -76.4836577, 'lat': 42.444730299999996}
{'lon': -76.4836577, 'lat': 42.444717499999996}
{'lon': -76.4836578, 'lat': 42.4447045}
{'lon': -76.48365799999999, 'lat': 42.444691399999996}
{'lon': -76.48365849999999, 'lat': 42.444677999999996}
{'lon': -76.4836595, 'lat': 42.4446649}
{'lon': -76.4836607, 'lat': 42.444651799999995}
{'lon': -76.4836594, 'lat': 42.444638}
{'lon': -76.48365849999999, 'lat': 42.444624999999995}
{'lon': -76.4836586, 'lat': 42.4446119}
{'lon': -76.4836584, 'lat': 42.444598299999996}
{'lon': -76.4836571, 'lat': 42.444584899999995}
{'lon': -76.4836565, 'lat': 42.444572}
{'lon': -76.4836562, 'lat': 42.4445592}
{'lon': -76.48365319999999, 'lat': 42.4445461}
{'lon': -76.4836445, 'lat': 42.4445343}
{'lon': -76.48362879999999, 'lat': 42.4445291}
{'lon': -76.4836132, 'lat': 42.4445307}
{'lon': -76.483597, 'lat': 42.4445371}
{'lon': -76.4835817, 'lat': 42.4445432}
{'lon': -76.4835659, 'lat': 42.444550299999996}
{'lon': -76.4835508, 'lat': 42.444558}
{'lon': -76.48353639999999, 'lat': 42.4445658}
{'lon': -76.48352179999999, 'lat': 42.4445713}
{'lon': -76.4835049, 'lat': 42.4445744}
{'lon': -76.48348779999999, 'lat': 42.4445726}
{'lon': -76.4834738, 'lat': 42.444564799999995}
{'lon': -76.48346339999999, 'lat': 42.444554}
{'lon': -76.48345599999999, 'lat': 42.4445421}
{'lon': -76.4834468, 'lat': 42.4445301}
{'lon': -76.4834388, 'lat': 42.444518699999996}
{'lon': -76.48343129999999, 'lat': 42.4445063}
{'lon': -76.4834247, 'lat': 42.4444942}
{'lon': -76.4834185, 'lat': 42.444481499999995}
{'lon': -76.4834111, 'lat': 42.444469999999995}
{'lon': -76.4834042, 'lat': 42.444457899999996}
{'lon': -76.4833969, 'lat': 42.444444999999995}
{'lon': -76.4833905, 'lat': 42.444433}
{'lon': -76.4833833, 'lat': 42.444420199999996}
{'lon': -76.4833749, 'lat': 42.4444076}
{'lon': -76.4833664, 'lat': 42.4443949}
{'lon': -76.4833579, 'lat': 42.444382399999995}
{'lon': -76.4833489, 'lat': 42.4443701}
{'lon': -76.48334, 'lat': 42.4443578}
{'lon': -76.48333149999999, 'lat': 42.444345399999996}
{'lon': -76.4833226, 'lat': 42.4443337}
{'lon': -76.4833139, 'lat': 42.444322}
{'lon': -76.4833068, 'lat': 42.4443094}
{'lon': -76.4833002, 'lat': 42.4442965}
{'lon': -76.4832931, 'lat': 42.4442841}
{'lon': -76.4832871, 'lat': 42.4442721}
{'lon': -76.4832799, 'lat': 42.444261399999995}
{'lon': -76.48326829999999, 'lat': 42.4442522}
{'lon': -76.4832546, 'lat': 42.4442436}
{'lon': -76.4832404, 'lat': 42.4442358}
{'lon': -76.4832254, 'lat': 42.4442275}
{'lon': -76.48321059999999, 'lat': 42.4442198}
{'lon': -76.4831986, 'lat': 42.4442113}
{'lon': -76.4831888, 'lat': 42.444203699999996}
{'lon': -76.4831852, 'lat': 42.4441997}
{'lon': -76.4831833, 'lat': 42.4441993}
{'lon': -76.4831839, 'lat': 42.444200099999996}
{'lon': -76.4831839, 'lat': 42.444200099999996}
{'lon': -76.4831839, 'lat': 42.444200099999996}
