latitude,longitude
42.4596,-76.5119
42.46011,-76.51072
42.4596,-76.50954
42.46011,-76.50836
42.46062,-76.50954
42.46113,-76.51072
42.46164,-76.50954
42.46215,-76.51072
42.46266,-76.50954
42.46317,-76.51072
42.46368,-76.50954
42.46419,-76.51072
42.46368,-76.51072
42.46317,-76.50954
42.46266,-76.51072
42.46215,-76.50954
42.46164,-76.51072
42.46113,-76.50954
42.46062,-76.51072
42.46011,-76.50954
42.4596,-76.51072
42.4596,-76.50836
42.46011,-76.50718
42.46062,-76.50836
42.46113,-76.50718
42.46164,-76.50836
42.46215,-76.50718
42.46266,-76.50836
42.46317,-76.50718
42.46368,-76.50836
42.46419,-76.50954
42.46419,-76.50836
42.46368,-76.50718
42.46317,-76.50836
42.46266,-76.50718
42.46215,-76.50836
42.46164,-76.50718
42.46113,-76.50836
42.46062,-76.50718
42.46011,-76.506
42.4596,-76.50718
42.4596,-76.506
42.46011,-76.50482
42.46062,-76.506
42.46113,-76.50482
42.46164,-76.506
42.46215,-76.50482
42.46266,-76.506
42.46317,-76.50482
42.46368,-76.506
42.46419,-76.50718
42.46419,-76.506
42.46368,-76.50482
42.46317,-76.506
42.46266,-76.50482
42.46215,-76.506
42.46164,-76.50482
42.46113,-76.506
42.46062,-76.50482
42.46011,-76.50364
42.4596,-76.50482
42.4596,-76.50364
42.46011,-76.50246
42.46062,-76.50364
42.46113,-76.50246
42.46164,-76.50364
42.46215,-76.50246
42.46266,-76.50364
42.46317,-76.50246
42.46368,-76.50364
42.46419,-76.50482
42.46419,-76.50364
42.46368,-76.50246
42.46317,-76.50364
42.46266,-76.50246
42.46215,-76.50364
42.46164,-76.50246
42.46113,-76.50364
42.46062,-76.50246
42.46419,-76.50246
42.4596,-76.50246
42.46011,-76.5119
42.46062,-76.5119
42.46113,-76.5119
42.46164,-76.5119
42.46215,-76.5119
42.46266,-76.5119
42.46317,-76.5119
42.46368,-76.5119
42.46419,-76.5119
